key,fr
initiative.entry.slotLabel,Initiative {index}
initiative.entry.shortSlotLabel,Init {index}
initiative.entry.helpSurprise,Choisis uniquement les personnages surpris avant de commencer.
initiative.entry.helpTextOrder,Choisis les parties de l’initiative. Cadence calcule l’ordre sans afficher de score technique.
initiative.entry.helpNumeric,Renseigne les valeurs au fur et à mesure. Les réservistes renseignés rejoignent l’initiative.
initiative.entry.clear,Vider
initiative.entry.includeGroup,Inclure
initiative.entry.environments,Environnements
initiative.entry.editTiebreaker,Départage
initiative.entry.editBonus,Bonus d'init
initiative.entry.includeReserve,Réserve
initiative.entry.sort.label,Tri
initiative.entry.sort.type,Type
initiative.entry.sort.name,Nom
initiative.entry.sort.initiative,Initiative
initiative.entry.bonusLabel,Bonus d'init
initiative.entry.rollOne,Lancer l'initiative de {name}
initiative.entry.rollMode,Jet
initiative.entry.rollModeFor,Mode du jet d’initiative de {name}
initiative.entry.rollGroup,Lancer l'initiative du groupe {group}
initiative.entry.rollGrouped,Lancer groupés
initiative.entry.drawOne,Tirer l'initiative de {name}
initiative.entry.drawGroup,Tirer l'initiative du groupe {group}
initiative.entry.drawGrouped,Tirer par type
initiative.entry.drawAll,Distribuer à tous
initiative.entry.drawAllTitle,Tirer une carte pour chaque personnage dans l’ordre actuellement affiché
initiative.entry.rollUnavailable,Tirage d'initiative introuvable ou sans résultat numérique.
initiative.entry.cardDrawUnavailable,"Paquet d'initiative introuvable ou vide, ou carte incompatible avec les libellés configurés."
initiative.entry.cardDrawIncomplete,"{drawn} carte(s) distribuée(s) sur {count} : le paquet ne contient pas assez de cartes compatibles."
initiative.entry.decisionUnsupported,Ce jet demande une décision après le tirage et ne peut pas être utilisé pour l’initiative automatique.
initiative.entry.partialWarning,"Certaines valeurs actives sont renseignées, d’autres non. Choisis quoi faire des champs vides."
initiative.entry.empty,Aucun personnage à renseigner.
initiative.entry.inInitiative,En initiative
initiative.entry.reserveSummary,Réserve · {count}
initiative.entry.continue,Continuer
initiative.entry.continuePartialDetail,"Valider, puis compléter les champs vides."
initiative.entry.continueDetail,Valider les valeurs renseignées.
initiative.entry.continueSurpriseDetail,Commencer avec cette surprise.
initiative.entry.keep,Conserver
initiative.entry.keepDetail,Valider et garder les autres initiatives.
initiative.entry.ignore,Ignorer
initiative.entry.ignoreDetail,Valider et sortir les non renseignés.
initiative.entry.ignoreEmptyDetail,Sortir les champs encore vides.
initiative.joinDialog.title,Rejoindre l'initiative - {name}
initiative.joinDialog.flexibleHelp,Ce mode souple classe automatiquement les personnages par type puis par nom.
initiative.joinDialog.resumePrevious,Reprendre l'ancienne initiative
initiative.editDialog.title,Modifier l'initiative - {name}
initiative.editDialog.fallbackName,Personnage
initiative.passed.title.phaseInsert,Insertion dans la phase
initiative.passed.title.insert,Insertion dans la séquence
initiative.passed.title.outOfPhase,N’agit pas dans cette phase
initiative.passed.title.phasePassed,Initiative dépassée dans cette phase
initiative.passed.title.passed,Initiative déjà dépassée
initiative.passed.insertHelp1,Cette initiative se place juste avant le personnage actuellement actif.
initiative.passed.insertHelp2,Cadence peut activer ce personnage maintenant pour l’insérer dans la séquence.
initiative.passed.outOfPhaseHelp1,Ce personnage n’agit pas pendant la phase courante.
initiative.passed.outOfPhaseHelp2,"Cadence l’ajoutera à l’initiative, mais ne l’activera pas dans cette phase."
initiative.passed.phasePassedHelp1,Cette initiative est déjà dépassée pour la phase en cours.
initiative.passed.phasePassedHelp2,Le personnage ne sera pas activé automatiquement par Cadence pendant cette phase.
initiative.passed.passedHelp1,Cette initiative est déjà dépassée.
initiative.passed.passedHelp2,Le personnage ne sera donc pas activé par Cadence ce round.
initiative.passed.gmHelp,Le MJ peut tout de même le faire agir narrativement si nécessaire.
initiative.passed.activateNow,Activer maintenant
initiative.passed.addAnyway,Ajouter quand même
initiative.passed.addSurprised,Ajouter surpris
initiative.passed.editInitiative,Modifier son initiative
sheet.type,Type
sheet.tacticalRole,Rôle tactique
sheet.tacticalRole.normal,Normal
sheet.tacticalRole.group,Groupe
sheet.tacticalRole.boss,Boss
sheet.description,Description
sheet.category,Catégorie
sheet.symbol,Symbole
sheet.symbol.custom,Personnalisé
sheet.symbol.customPlaceholder,Ex. ⚡ ou 🐉
sheet.color,Couleur
sheet.currentValue,valeur actuelle : {value}
sheet.defaultState,État par défaut
sheet.defaultState.min,Minimum
sheet.defaultState.max,Maximum
sheet.defaultState.custom,Personnalisé
sheet.advancedOptions,Options avancées
sheet.advanced.bounds,Limites
sheet.advanced.automatisms,Automatisme
sheet.advanced.thresholds,Seuils
sheet.saveAsTemplate,Enregistrer comme modèle
sheet.validate,Valider
sheet.validateChanges,Valider les modifications
sheet.initiative.primary,Initiative 1
sheet.initiative.bonus,Bonus d'initiative
sheet.initiative.extra,Initiative {index}
sheet.actions.multiple,plusieurs actions
sheet.actions.add,+ action
sheet.actions.removeAria,Retirer une action
sheet.actions.addAria,Ajouter une action
sheet.actions.count,{count} actions
sheet.quickInfo.title,Infos rapides
sheet.quickInfo.label,Libellé
sheet.quickInfo.placeholder,Libellé
sheet.quickInfo.add,+ info rapide
sheet.quickInfo.roll,Jet rapide
sheet.quickInfo.rollConfigure,Configurer
sheet.quickInfo.rollConfigTitle,Configurer le jet rapide
sheet.quickInfo.rollConfigHelp,Choisissez le jet de la campagne associé à cette information rapide.
sheet.quickInfo.rollDefinition,Jet à lancer
sheet.quickInfo.rollUnavailable,Aucun jet actif n’est disponible. Activez ou créez-en un dans les tirages de campagne.
sheet.trackers.title,Indicateurs
sheet.trackers.add,Ajouter un indicateur
sheet.trackers.custom,Personnalisé
sheet.trackers.titleLabel,Titre
sheet.trackers.defaultName,Indicateur
sheet.tracker.visible,visible
sheet.tracker.hidden,masqué
sheet.tracker.secret,secret
sheet.tracker.hideOnCard,Masquer sur la fichette
sheet.tracker.showOnCard,Afficher sur la fichette
sheet.tracker.visibleOnCard,Visible sur la fichette
sheet.tracker.hiddenOnCard,Masqué sur la fichette
sheet.character.hide,dissimuler
sheet.character.hideTitle,Dissimuler la fiche
sheet.character.revealTitle,Ne plus dissimuler la fiche
sheet.tracker.nameAria,Nom du suivi
sheet.tracker.typeAria,Type du suivi
sheet.tracker.duplicate,Dupliquer cet indicateur
sheet.tracker.duplicateAria,Dupliquer l’indicateur {name}
sheet.tracker.resetTitle,Réinitialiser ce suivi
sheet.tracker.reset,Réinitialiser
sheet.counters.title,Compteurs
sheet.counters.add,+ compteur
sheet.counters.current,Valeur actuelle
sheet.counters.initial,Valeur initiale
sheet.counters.min,Minimum
sheet.counters.max,Maximum
sheet.counters.size,Taille
sheet.counters.size.compact,Compact
sheet.counters.size.normal,Normal
sheet.counters.size.wide,Large
sheet.thresholds.text,Seuils texte
sheet.thresholds.points,Seuils sur les puces
sheet.thresholds.totalCounter,Seuils sur le compteur global
sheet.thresholds.clock,Seuils sur l’horloge
sheet.thresholds.counter,Seuils sur le compteur
sheet.thresholds.primaryCounter,Compteur principal
sheet.thresholds.targetValue,valeur cible : {value}
sheet.thresholds.outOfBounds,hors limites
sheet.thresholds.basis.fromMax,% depuis le maximum
sheet.reset.autoAdvance,activer les automatismes
sheet.reset.canFreeze,peut être figé
sheet.reset.when,Déclenchement
sheet.reset.when.round,Début de round
sheet.reset.when.activation,À l’activation
sheet.reset.action,Action
sheet.reset.action.default,Revenir à l’état par défaut
sheet.reset.action.limit,Jusqu’à la limite
sheet.reset.action.always,Toujours
sheet.reset.flexibleActivationLocked,Indisponible en mode souple : les retours d’activation restent figés.
sheet.reset.check,Coche
sheet.reset.level.light,Léger
sheet.reset.level.normal,Normal
sheet.reset.level.serious,Grave
sheet.reset.level.critical,Critique
sheet.reset.level.fatal,Fatal
sheet.reset.counterFallback,Compteur
sheet.reset.addValue,Ajout
sheet.reset.defaultState,État par défaut
sheet.reset.default.empty,vide
sheet.reset.default.full,plein
sheet.reset.default.custom,personnalisé
sheet.reset.default.customValue,Valeur de réinitialisation personnalisée
sheet.reset.blockFallback,Bloc
sheet.reset.boxes,Cases
sheet.reset.step,Cran
sheet.reset.maxCheck,Coche max
sheet.reset.underflowRecovery,% sous minimum
sheet.reset.excessReduction,% au-dessus max
sheet.reset.noValue,aucun
sheet.points.autoAction.default,Revenir à l’état par défaut
sheet.points.autoAction.increase,Augmenter
sheet.points.autoAction.decrease,Réduire
sheet.points.loopHelp,Le compteur indique combien de fois les puces ont dépassé leur limite.
sheet.bar.clampMin,bloquer au minimum
sheet.bar.clampMax,bloquer au maximum
sheet.points.limit,Limite
sheet.points.limit.clamp,Bloquer au max
sheet.points.limit.loop,Boucler avec compteur
sheet.points.autoCounter,Modifier le compteur
sheet.points.currentCounter,Compteur actuel
sheet.points.minCounter,Min compteur
sheet.points.maxCounter,Max compteur
sheet.clock.initialValue,Valeur initiale
sheet.clock.direction,Sens
sheet.clock.direction.ascending,Croissant
sheet.clock.direction.descending,Décroissant
sheet.clock.segments,Nombre de segments
sheet.clock.endMode,Fin de l’horloge
sheet.clock.endMode.manual,À résoudre manuellement
sheet.clock.endMode.increment,Relancer et compter les cycles
sheet.clock.endMode.overflow,Dépasser avec zone rouge
sheet.clock.initialCounter,Compteur initial
sheet.boxes.activeLevels,Niveaux actifs
sheet.boxes.blocks,Blocs
sheet.boxes.addBlock,+ bloc
sheet.boxes.addLine,+ ligne
sheet.boxes.blockName,Nom du bloc
sheet.boxes.lineName,Nom de ligne
sheet.statuses.title,États
sheet.note,Note
hub.tabs.scenes,Scènes
reserve.title,Réserve
reserve.empty,Vide
reserve.notes,Notes de réserve
reserve.notes.placeholder,"Renforts, événements en attente, éléments hors scène immédiate..."
fileChoice.title,Fichier de campagne
fileChoice.help,"Cette campagne vient de {fileName}. Tu peux travailler directement sur ce fichier, ou créer une copie séparée."
fileChoice.workOnFile,Travailler sur ce fichier
fileChoice.createCopy,Créer une copie
fileChoice.copySafer,Le fichier original n’est pas accessible en écriture depuis ce mode d’import. La copie est le choix sûr.
timerDone.title,Minuteur terminé
timerDone.help,Le minuteur est arrivé à zéro.
timerDone.restart,Relancer
timerDone.reset,Remettre à zéro
timerDone.openMenu,Ouvrir le menu
dialogs.resolveClock.title,Horloge à résoudre
dialogs.resolveClock.help,Une horloge est arrivée à son terme. Résous-la avant de continuer la séquence.
dialogs.resolveClock.segments,{current}/{max} segments
dialogs.resolveClock.restart,Relancer à 0
rules.compat.initiativeCostFlexible,Les actions multiples avec coût d’initiative sont incompatibles avec le mode souple.
rules.compat.initiativeCostPhases,Les actions multiples avec coût d’initiative sont incompatibles avec les phases.
rules.compat.initiativeCostLabels,Les actions multiples avec coût d’initiative exigent une initiative numérique.
rules.compat.initiativeCostDeclaration,Les actions multiples avec coût d’initiative sont incompatibles avec déclaration puis résolution.
rules.compat.initiativeCostAscending,Les actions multiples avec coût d’initiative exigent un ordre décroissant.
rules.compat.automaticPhasesTextInitiative,Les phases par initiative exigent une initiative numérique. Les libellés restent possibles avec les phases cochées.
rules.compat.surpriseFlexible,"En mode souple, la surprise doit prendre fin au début du round."
rules.compat.disableInitiativeCostFirst,Désactive d’abord le coût d’initiative.
rules.compat.disableInitiativeCostActionsFirst,Désactive d’abord les actions multiples avec coût d’initiative.
rules.compat.disableManualActionsFirst,Désactive d’abord les actions multiples manuelles.
rules.compat.unavailableFlexible,Indisponible en mode souple.
rules.compat.unavailablePhases,Indisponible avec les phases.
rules.compat.numericOnly,Disponible seulement avec une initiative numérique.
rules.compat.disableDeclarationFirst,Désactive d’abord déclaration puis résolution.
rules.compat.unavailableAscending,Indisponible en ordre ascendant.
rules.compat.flexibleNoLabels,Le mode souple sans initiative classe seulement les personnages par type puis par nom. Réactive l’initiative pour utiliser des libellés.
rules.compat.automaticPhasesNeedNumeric,"Les phases par initiative nécessitent une initiative numérique. Avec l’initiative par libellés, utilise les phases cochées."
rules.compat.textInitiativeAutomaticPhases,Les phases par initiative ne sont pas compatibles avec l’initiative par libellés. Utilise les phases cochées ou repasse en initiative numérique.
rules.summary.numericInitiative,Initiative numérique
rules.summary.labelInitiative,Initiative par labels
rules.summary.noInitiative,Sans initiative
rules.summary.singleAction,Une action par personnage
rules.summary.manualSlots,Créneaux manuels
rules.summary.initiativeCost,Actions multiples avec coût d’initiative
rules.summary.declaration,Déclaration puis résolution
rules.compat.phasesMultipleSlots,Les phases sont incompatibles avec les actions multiples manuelles.
rules.compat.manualSlotsUnavailableWithPhases,Les actions multiples manuelles ne sont pas disponibles avec les phases.
rules.activeTitle,Règles actives
rules.temporality.title,Temporalité
rules.temporality.help,Règle appliquée aux scènes de la campagne.
rules.temporality.classic,Classique
rules.temporality.flexible,Souple
rules.temporality.phases,Phases
rules.temporality.declaration,Déclaration puis résolution
rules.temporality.classicHelp,Cadence suit l’ordre d’initiative et avance au participant suivant.
rules.temporality.flexibleHelp,Les effets liés à l’activation sont résolus au début du round pour tous les personnages. Le bouton A joué ne déclenche pas d’évolution.
rules.temporality.phasesHelp,Cadence enchaîne des phases et applique un décrément aux initiatives.
rules.temporality.declarationHelp,Un temps de déclaration précède une résolution ordonnée des actions déclarées.
rules.declaration.title,Déclaration
rules.declaration.help,"Ajoute une déclaration d’action avant la résolution du round, compatible avec classique, souple et phases."
rules.declaration.mode,Déclaration puis résolution
rules.surprise.title,Surprise
rules.surprise.help,La surprise est choisie au lancement depuis la page de préparation. Ces règles décident son effet automatique et son évolution.
rules.surprise.dedicatedRound,Utiliser un round de surprise dédié
rules.surprise.limited,Limité
rules.surprise.limitedHelp,Le personnage reste jouable mais son état contraint est signalé.
rules.surprise.inactive,Inactif
rules.surprise.inactiveHelp,Le personnage est visuellement mis hors jeu tant que l’état Surpris dure.
rules.surprise.advance.activation,Activation
rules.surprise.advance.activationHelp,L’état prend fin à l’activation suivante du personnage.
rules.surprise.advance.round,Début du round
rules.surprise.advance.roundHelp,L’état prend fin au début du round suivant.
rules.preset.saveTitle,Enregistrer le preset
rules.preset.name,Nom du preset
rules.preset.overwrite,Écraser {name}
rules.preset.create,Créer un nouveau preset
rules.preset.duplicateWarning,Un autre preset porte déjà ce nom. Cadence demandera confirmation avant de l’écraser.
rules.preset.alreadyExists,{name} existe déjà.
rules.preset.overwriteHelp,"Tu peux écraser ce preset avec les règles actuelles, ou changer de nom."
rules.preset.overwriteCurrent,Écraser ce preset
rules.preset.rename,Changer le nom
rules.preset.renameCurrent,Renommer le préréglage courant
rules.preset.saveCurrent,Enregistrer le préréglage
rules.preset.saved,Préréglage enregistré
rules.preset.custom,Règles personnalisées
rules.preset.customShort,perso
rules.preset.family.generic,Presets génériques
rules.preset.family.system,Presets systèmes
rules.preset.family.personal,Presets personnels
rules.preset.family.genericSingle,Preset générique
rules.preset.family.systemSingle,Preset système
rules.preset.family.personalSingle,Preset personnel
rules.preset.modified,modifié
rules.preset.starting,Préréglage de départ : {name}
rules.preset.deleteShort,Suppr.
rules.phase.title,Phases
rules.phase.help,Paramètres des phases d’initiative pour la campagne.
rules.phase.byInitiative,Phases par initiative
rules.phase.byInitiativeHelp,Cadence baisse l’initiative à chaque phase et s’arrête quand elle tombe à zéro.
rules.phase.checked,Phases cochées
rules.phase.checkedHelp,Chaque fiche indique les phases où elle agit. Les phases vides sont sautées.
rules.phase.max,Nombre max de phases
rules.phase.decrement,Décrément
rules.equality.title,Égalités d’initiative
rules.equality.help,Définit quand deux participants partagent vraiment le même créneau.
rules.equality.never,Jamais
rules.equality.strict,Par type
rules.equality.loose,Par initiative
rules.equality.neverHelp,"Aucun vrai simultané : si tout est égal, Cadence trie par nom."
rules.equality.strictHelp,"Simultané seulement si initiative, départage et type sont identiques."
rules.equality.looseHelp,Simultané dès que initiative et départage sont identiques.
rules.initiativeOrder.title,Ordre d’initiative
rules.initiativeOrder.help,Sens de parcours des valeurs d’initiative.
rules.initiativeOrder.desc,Décroissant
rules.initiativeOrder.asc,Croissant
rules.initiativeOrder.descHelp,Les valeurs hautes agissent d’abord.
rules.initiativeOrder.ascHelp,Les valeurs basses agissent d’abord.
rules.initiativeOrder.flexibleHelp,"En mode souple, l’ordre d’initiative ne force pas la séquence de jeu. Il sert seulement à organiser visuellement les personnages et à aider le MJ à suivre qui peut agir."
rules.initiativeOrder.use,Utiliser l’initiative
rules.initiativeOrder.noInitiativeNote,"Sans initiative, les personnages sont classés par type puis par ordre alphabétique. Les anciennes valeurs restent conservées mais sont ignorées."
rules.initiativeOrder.unavailableWithCost,Indisponible avec le coût d’initiative.
rules.tiebreaker.title,Départage
rules.tiebreaker.help,Champ secondaire optionnel utilisé pour ordonner les initiatives égales.
rules.tiebreaker.show,Afficher le champ
rules.tiebreaker.showWithBonus,Utiliser un champ de départage en plus du bonus d’initiative
rules.tiebreaker.showWithoutBonus,Utiliser un champ de départage pour les initiatives égales
rules.tiebreaker.label,Nom du champ
rules.tiebreaker.hiddenNote,Les anciennes valeurs restent conservées mais n’influencent plus le tri.
rules.initiativeBonus.title,Bonus d'initiative
rules.initiativeBonus.help,Autorise un bonus discret ajouté aux jets d'initiative numériques.
rules.initiativeBonus.enable,Utiliser les bonus d'initiative
rules.initiativeBonus.roll,Tirage d'initiative
rules.initiativeBonus.noRoll,Aucun tirage lié
rules.initiativeBonus.rollNote,La saisie d'initiative utilisera ce tirage pour remplir l'initiative en y injectant le bonus du personnage.
rules.initiativeBonus.textNote,Les bonus sont conservés mais ne s'appliquent pas aux initiatives par libellés.
rules.initiativeBonus.hiddenNote,Les anciennes valeurs restent conservées mais sont ignorées et masquées.
rules.initiativeBonus.noBonusNote,Sans bonus : l’initiative est saisie directement ou définie par le tirage lié.
rules.multipleActions.title,Actions multiples
rules.multipleActions.help,Choix exclusif pour les actions multiples dans le round.
rules.multipleActions.none,Aucune
rules.multipleActions.noneHelp,Une seule activation d’initiative par personnage.
rules.multipleActions.manual,Créneaux manuels
rules.multipleActions.manualHelp,Le MJ saisit plusieurs créneaux au lancement.
rules.multipleActions.scope,Portée des actions multiples
rules.multipleActions.scopeAll,Tous les participants
rules.multipleActions.scopeAllHelp,Tous les Types peuvent recevoir plusieurs créneaux manuels.
rules.multipleActions.scopeElite,Actions multiples pour les Élites
rules.multipleActions.scopeEliteHelp,Seuls Élite et les Types personnalisés qui héritent d’Élite peuvent recevoir plusieurs créneaux.
rules.multipleActions.initiativeCost,Actions multiples avec coût d’initiative
rules.multipleActions.initiativeCostHelp,"Après une action, le coût crée un nouveau créneau plus bas si le seuil le permet."
rules.multipleActions.threshold,Seuil de fin de round
rules.multipleActions.thresholdNote,"Si l’initiative après coût est inférieure ou égale à ce seuil, le personnage ne reçoit pas de nouveau créneau ce round."
rules.multipleActions.quickCosts,Coûts rapides
rules.multipleActions.limitCost,Interdire de dépenser plus d’initiative que le créneau actuel
rules.initiativeFormat.title,Saisie d’initiative
rules.initiativeFormat.numeric,Numérique
rules.initiativeFormat.numericFields,Champs numériques
rules.initiativeFormat.presetSummary,Préréglage : {preset} - {resume}
rules.initiativeFormat.cardSourceSummary,Paquet lié : {source}
rules.initiativeFormat.numericHelp,Les initiatives sont saisies avec des nombres.
rules.initiativeFormat.labels,Par libellés
rules.initiativeFormat.labelsHelp,La saisie utilise les menus du préréglage choisi.
rules.initiativeFormat.modify,Modifier
rules.newRound.title,Nouveau round
rules.newRound.reroll,Relancer l’initiative au nouveau round
rules.categories.title,Ordre des types
rules.categories.help,Ordre utilisé pour classer les personnages et départager les initiatives encore égales. Il n’impose pas une activation supplémentaire et reste distinct des libellés d’initiative.
rules.categories.delete,Supprimer {category}
rules.categories.renameAria,Renommer {category}
rules.categories.behaviorAria,Comportement de {category}
rules.categories.new,Nouveau type
rules.categories.add,Ajouter
rules.title,Règles d’initiative
rules.help,Ces réglages sont appliqués à toutes les scènes de la campagne et servent de base aux nouvelles scènes.
rules.navigation.title,Règles et tirages
rules.navigation.initiative,Initiative
rules.navigation.kits,Tirages disponibles
rules.navigation.randomRules,Options de résultat
rules.navigation.library,Import / export
rules.group.development,Déroulement
rules.group.developmentHelp,Ce bloc décide comment un round commence et comment les personnages jouent.
rules.group.initiative,Initiative
rules.group.initiativeHelp,"Saisie, sens de lecture et modifications possibles pendant le round."
rules.group.equalities,Égalités
rules.group.equalitiesHelp,Ce bloc sert seulement quand plusieurs personnages arrivent au même moment.
rules.group.organization,Organisation
rules.group.organizationHelp,Ce bloc définit le classement visuel du mode souple.
hub.tabs.rules,Règles
hub.tabs.random,Tirages
hub.tabs.campaigns,Options
hub.tabs.templates,Modèles
hub.brandFallback,Campagne Cadence
hub.themeToggle,Basculer thème clair ou sombre
hub.scene.defaultTitle,Scène
hub.scene.defaultType,Scène
hub.scene.name,Nom
hub.scene.type,Type
hub.scene.notes,Notes
hub.scene.open,Ouvrir
hub.scene.edit,Modifier
hub.scene.duplicate,Dupliquer
hub.scene.deleteRevealAria,Afficher la suppression de {title}
hub.scenes.title,Scènes
hub.scenes.help,"Crée ou ouvre une scène pour suivre l'initiative, les rounds, les états et les indicateurs."
hub.scenes.new,Nouvelle scène
hub.scenes.empty,Aucune scène pour le moment. Crée une scène pour commencer.
hub.campaigns.title,Campagnes
hub.campaigns.help,Chaque campagne correspond à un fichier .cad. Ouvre un fichier existant ou enregistre une copie de la campagne active.
hub.campaigns.name,Nom de la campagne
hub.campaigns.empty,Aucune campagne locale active pour le moment.
hub.campaigns.status.local,Sauvegarde locale active.
hub.campaigns.open,Charger une campagne
hub.campaigns.copy,Enregistrer une copie
hub.campaigns.importAria,Importer une campagne
hub.campaigns.advanced,Actions avancées
hub.campaigns.loadTest,Charger la campagne de test
hub.campaigns.adminPresets,Admin presets règles/tirages
hub.campaigns.reset,Réinitialiser Cadence
hub.campaigns.filePickerDescription,Campagne Cadence
hub.files.title,Fichiers Cadence
hub.files.help,Choisis si tu veux sauvegarder toute la campagne ou seulement les éléments réutilisables.
hub.files.campaignTitle,Campagne complète
hub.files.campaignHelp,"Contient les scènes, les règles, les modèles et les tirages actifs de cette campagne."
hub.files.libraryTitle,Bibliothèque réutilisable
hub.files.libraryHelp,"Contient les modèles, les préréglages et les ensembles de tirages à partager entre campagnes."
hub.files.openCampaign,Ouvrir une campagne
hub.files.saveCampaign,Enregistrer une copie
hub.files.importLibrary,Importer une bibliothèque
hub.files.exportLibrary,Exporter la bibliothèque
hub.loading.rules,Chargement des règles...
hub.loading.templates,Chargement des modèles...
templates.hub.title,Modèles
templates.hub.import,Importer modèles ou bibliothèque
templates.hub.exportLibrary,Exporter modèles .cadlib
library.tab,Bibliothèques
library.title,Importer et exporter
library.help,"Les fichiers .cadlib regroupent les modèles, préréglages et ensembles de tirages que tu souhaites partager ou conserver."
library.modelsTitle,Modèles et préréglages
library.modelsHelp,Importe ou exporte les modèles de campagne ainsi que les préréglages personnels de règles et de libellés d’initiative.
library.importModels,Importer modèles/presets
library.exportModels,Exporter modèles/presets
library.kitsTitle,Ensembles de tirages
library.kitsHelp,Importe ou exporte les ensembles qui activent plusieurs tirages à la fois.
library.importKits,Importer kits
library.exportKits,Exporter kits
templates.save.title,Enregistrer comme modèle
templates.save.help,Le modèle gardera la fiche et ses indicateurs. Les états temporaires ne seront pas appliqués quand tu l’ajouteras à une scène.
templates.save.newCategory,Nouvelle catégorie…
templates.save.newCategoryLabel,Nouvelle catégorie
templates.save.categoryNamePlaceholder,Nom de catégorie
templates.save.duplicateName,Nom déjà utilisé
templates.save.error,Impossible d’enregistrer
templates.save.overwrite,Écraser
templates.save.rename,Modifier le nom
templates.tabs.personnages,Personnages
templates.tabs.suivis,Indicateurs
templates.tabs.statuses,États
templates.tabs.scene,Scène
templates.personnages.help,"Les modèles de personnages servent de fiches prêtes à réutiliser, avec leurs infos rapides et leurs indicateurs."
templates.personnages.empty,Aucun modèle dans cette catégorie.
templates.personnages.uncategorized,Sans catégorie
templates.personnages.newCategoryPlaceholder,Nouvelle catégorie
templates.personnages.addCategory,Ajouter
templates.personnages.renameCategoryAria,Renommer la catégorie
templates.personnages.addTemplateAria,Ajouter un modèle
templates.personnages.editAria,Modifier {name}
templates.personnages.kindFallback,Personnage
templates.personnages.duplicateAria,Dupliquer {name}
templates.personnages.deleteRevealAria,Afficher la suppression de {name}
templates.personnages.moveCategoryUp,Monter la catégorie {name}
templates.personnages.moveCategoryDown,Descendre la catégorie {name}
templates.sections.suivis.help,Ces indicateurs pourront être ajoutés depuis l'édition d'une fiche.
templates.sections.suivis.add,+ indicateur
templates.sections.suivis.empty,Aucun modèle d'indicateur.
templates.sections.suivis.detailFallback,Indicateur
templates.sections.statuses.help,Ces états seront proposés quand tu ajoutes un état à une fiche.
templates.sections.statuses.add,+ état
templates.sections.statuses.empty,Aucun modèle d'état.
templates.sections.sceneCounters.title,Indicateurs de scène
templates.sections.sceneCounters.help,Ces modèles remplacent ou préparent l'indicateur global de la scène.
templates.sections.sceneCounters.add,+ indicateur
templates.sections.sceneCounters.empty,Aucun modèle d'indicateur de scène.
templates.sections.sceneStatuses.title,États de scène
templates.sections.sceneStatuses.help,Ces états sont proposés dans le menu d'ajout d'état de scène.
templates.sections.sceneStatuses.add,+ état
templates.sections.sceneStatuses.empty,Aucun modèle d'état de scène.
templates.status.impact.inactive,[!] inactif
templates.status.impact.limited,[~] limité
templates.status.impact.normal,[o] normal
templates.status.advance.round,round(s)
templates.status.advance.activation,activation(s)
templates.status.summary.infinite,{impact} | illimité
templates.status.summary.duration,{impact} | {duration} {rythme}
templates.counterScene.timer,minuteur {minutes} min
templates.counterScene.stopwatch,chronomètre
templates.counterScene.counter,compteur /{max}
templates.counterScene.clock,horloge {segments} segments
templates.editor.tracker.title,Modèle d'indicateur
templates.editor.tracker.defaultName,Indicateur
templates.editor.tracker.saveCurrent,Enregistrer cet indicateur comme modèle
templates.editor.modelName,Nom du modèle
templates.editor.saved,{name} enregistré comme modèle.
templates.editor.status.title,Modèle d'état
templates.editor.status.defaultName,État
templates.editor.status.name,Nom de l'état
templates.editor.status.saveCurrent,Enregistrer comme modèle
templates.editor.status.duration,Durée
templates.editor.status.durationPlaceholder,illimitée
templates.editor.advanced,Options avancées
templates.editor.status.advance,Évolution
templates.editor.status.advance.activation,Activation
templates.editor.status.advance.round,Début du round
templates.editor.status.loop,renouveler en boucle
templates.editor.sceneStatus.title,Modèle d'état de scène
templates.editor.sceneStatus.defaultName,État de scène
templates.editor.sceneCounter.title,Modèle d'indicateur de scène
templates.editor.sceneCounter.defaultName,Indicateur de scène
templates.editor.sceneCounter.name,Nom de l'indicateur
templates.editor.sceneCounter.saveCurrent,Enregistrer cet indicateur comme modèle
templates.editor.sceneCounter.type,Type
templates.editor.sceneCounter.value,Valeur
templates.editor.sceneCounter.durationMinutes,Durée minutes
templates.editor.sceneCounter.max,Maximum
templates.editor.sceneCounter.auto,activer les automatismes à chaque nouveau round
initiativeText.partFallback,Partie {index}
initiativeText.partLabel,Partie {index}
initiativeText.partName,Nom de la partie
initiativeText.separator,Séparateur vers la partie suivante
initiativeText.separatorPlaceholder,"ex: de, /, -"
initiativeText.newLabel,Nouveau libellé
initiativeText.addPartAfter,+ partie après
initiativeText.orderHelp,L’ordre affiché est l’ordre de priorité : le premier libellé passe avant le suivant.
initiativeText.leaveTitle,Quitter sans enregistrer ?
initiativeText.leaveHelp,Les modifications du préréglage ne seront pas conservées.
initiativeText.continueEditing,Continuer l’édition
initiativeText.leaveWithoutSaving,Quitter sans conserver
initiativeText.title,Modifier les libellés d’initiative
initiativeText.saveLabels,Enregistrer les libellés
initiativeText.preset,Préréglage
initiativeText.cardSource,Paquet de cartes lié
initiativeText.noCardSource,Aucun paquet lié
initiativeText.cardSourceHelp,"Le lien indique quel paquet utiliser pour les initiatives par cartes. Cadence convertit chaque carte en parties de libellé, par exemple As + Pique, au lieu de reprendre le nom complet de la carte."
initiativeText.linkedSource,Paquet ou table d’aléa
